Sample_type,Sample ID,Date Archived,Date Extracted,Date Collected,N1 Replicate 1,N1 Replicate 2,N1_mean,VL_cpml,RNaseP,Extraction Batch,ex_replicate,days_4C (x),day_archive,Half-Life (days)
swab,2029,20210203,20210115,20210111,26.25067471,26.28897424,26.26982448,1617112.642,27.8007866,NB_20210115_AR/ES,1,4,23,28.97060568
swab,2029,20210203,20210214,20210111,27.27254875,27.25091099,27.26172987,847591.5095,28.25630592,20210214_1_AER,2,31,23,28.97060568
swab,2031,20210203,20210115,20210112,29.05723256,28.88264917,28.96994086,278631.8572,27.92616231,NB_20210115_AR/ES,1,3,22,22.57568582
swab,2031,20210203,20210214,20210112,30.2214342,30.26420408,30.24281914,121620.2332,28.16859413,20210214_1_AER,2,30,22,22.57568582
swab,2033,20210203,20210115,20210111,30.85480257,31.04747459,30.95113858,76676.54023,29.06269328,NB_20210115_AR/ES,1,4,23,11.94749267
swab,2033,20210203,20210216,20210111,33.31868394,33.75031747,33.5345007,14255.29316,29.15215166,20210216_1_AER,2,33,23,11.94749267
swab,2035,20210203,20210115,20210112,25.05863097,24.95339784,25.00601441,3682988.227,24.93303233,NB_20210115_AR/ES,1,3,22,45.25888743
swab,2035,20210203,20210216,20210112,25.80459804,25.57134853,25.68797328,2362179.597,25.08881883,20210216_1_AER,2,32,22,45.25888743
swab,2037,20210202,20210115,20210111,19.638955,19.519927,19.579441,126202978.8,27.09763558,NB_20210115_AR/ES,1,4,22,19.3315623
swab,2037,20210202,20210217,20210111,21.0712,21.0014,21.0363,48866020.7,27.0976,20210217_1_AR,2,37,22,19.3315623
swab,2037,20210202,20210408,20210111,24.1484,24.0576,24.103,6631500.35,27.01339896,20210408_AMC,3,87,22,19.3315623
swab,2039,20210202,20210115,20210112,23.108931,23.054909,23.08192,12894880.16,27.56570684,NB_20210115_AR/ES,1,3,21,20.15104208
swab,2039,20210202,20210217,20210112,24.2088,24.2469,24.22785,6113625.418,27.5657,20210217_1_AR,2,36,21,20.15104208
swab,2039,20210202,20210408,20210112,27.3287,27.45,27.38935,779991.9397,27.26795824,20210408_AMC,3,86,21,20.15104208
swab,2041,20210203,20210115,20210111,23.68921951,23.73377988,23.71149969,8557462.17,29.15824776,NB_20210115_AR/ES,1,4,23,9.260368155
swab,2041,20210203,20210217,20210111,26.85856203,26.7706917,26.81462686,1134087.685,29.69340977,20210217_1_AW,2,31,23,9.260368155
swab,2043,20210203,20210115,20210112,32.45991773,32.58046654,32.52019213,27597.2885,30.64984525,NB_20210115_AR/ES,1,3,22,8.738629203
swab,2043,20210203,20210217,20210112,36.01538699,35.35821027,35.68679863,3509.242376,31.58982412,20210217_1_AW,2,29,22,8.738629203
